variant	engine	threads	zipf	rw	ops	batch_size	exit_code	elapsed_sec	average_commit	average_abort	total_commit	log_path
current	ariaer	12	0.0	80	10	1024	0	27	809265	3688.2	809265	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs1024_zipf_0.0.log
current	ariaer	12	0.0	80	10	2048	0	27	791295	7629.4	791295	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs2048_zipf_0.0.log
current	ariaer	12	0.0	80	10	4096	0	27	746347	15918.3	746347	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops10_bs4096_zipf_0.0.log
current	ariaer	12	0.0	80	100	1024	0	27	47219.2	74115.1	47219.2	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs1024_zipf_0.0.log
current	ariaer	12	0.0	80	100	2048	0	26	26405.9	96269.3	26405.9	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs2048_zipf_0.0.log
current	ariaer	12	0.0	80	100	4096	0	26	14252.5	114329	14252.5	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw80_ops100_bs4096_zipf_0.0.log
current	ariaer	12	0.2	50	10	1024	0	27	399640	11803.7	399640	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs1024_zipf_0.2.log
current	ariaer	12	0.2	50	10	2048	0	27	380641	23224.2	380641	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs2048_zipf_0.2.log
current	ariaer	12	0.2	50	10	4096	0	27	342806	44266.2	342806	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops10_bs4096_zipf_0.2.log
current	ariaer	12	0.2	50	100	1024	0	26	11097.9	63858.9	11097.9	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs1024_zipf_0.2.log
current	ariaer	12	0.2	50	100	2048	0	26	5683.5	70911.7	5683.5	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs2048_zipf_0.2.log
current	ariaer	12	0.2	50	100	4096	0	27	2910.1	75327.6	2910.1	/work/miyayu/aria_experiment/results/ycsb_aria_matrix/full_20260312_091916/current_ariaer_p12_t12_k40000_rw50_ops100_bs4096_zipf_0.2.log
