zipf,engine,read_write_ratio,ops_per_txn,batch_size,threads,partitions,average_commit,total_commit
0.6,ariaer,80,100,4096,16,16,39676.9,39676.9
0.7,ariaer,80,100,4096,16,16,19135.4,19135.4
0.8,ariaer,80,100,4096,16,16,7435,7435
0.9,ariaer,80,100,4096,16,16,2914.6,2914.6
0.0,ariaer,80,10,1024,16,16,1.73363,1.73363
0.1,ariaer,80,10,1024,16,16,1.30885,1.30885
0.2,ariaer,80,10,1024,16,16,1.30996,1.30996
0.3,ariaer,80,10,1024,16,16,1.31194,1.31194
0.4,ariaer,80,10,1024,16,16,1.30839,1.30839
0.5,ariaer,80,10,1024,16,16,1.31079,1.31079
0.6,ariaer,80,10,1024,16,16,1.29761,1.29761
0.7,ariaer,80,10,1024,16,16,1.2621,1.2621
0.8,ariaer,80,10,1024,16,16,1.16287,1.16287
0.9,ariaer,80,10,1024,16,16,968233,968233
0.0,ariaer,80,10,16000,16,16,1.4884,1.4884
0.1,ariaer,80,10,16000,16,16,1.15448,1.15448
0.2,ariaer,80,10,16000,16,16,1.15841,1.15841
0.3,ariaer,80,10,16000,16,16,1.15613,1.15613
0.4,ariaer,80,10,16000,16,16,1.1543,1.1543
0.5,ariaer,80,10,16000,16,16,1.13625,1.13625
0.6,ariaer,80,10,16000,16,16,1.08846,1.08846
0.7,ariaer,80,10,16000,16,16,986313,986313
0.8,ariaer,80,10,16000,16,16,816039,816039
0.9,ariaer,80,10,16000,16,16,625922,625922
0.0,ariaer,80,10,2048,16,16,1.72707,1.72707
0.1,ariaer,80,10,2048,16,16,1.32065,1.32065
0.2,ariaer,80,10,2048,16,16,1.2954,1.2954
0.3,ariaer,80,10,2048,16,16,1.32375,1.32375
0.4,ariaer,80,10,2048,16,16,1.32233,1.32233
0.5,ariaer,80,10,2048,16,16,1.31382,1.31382
0.6,ariaer,80,10,2048,16,16,1.3086,1.3086
0.7,ariaer,80,10,2048,16,16,1.25547,1.25547
0.8,ariaer,80,10,2048,16,16,1.1307,1.1307
0.9,ariaer,80,10,2048,16,16,895415,895415
0.0,ariaer,80,10,4096,16,16,1.69285,1.69285
0.1,ariaer,80,10,4096,16,16,1.29003,1.29003
0.2,ariaer,80,10,4096,16,16,1.2923,1.2923
0.3,ariaer,80,10,4096,16,16,1.29255,1.29255
0.4,ariaer,80,10,4096,16,16,1.29701,1.29701
0.5,ariaer,80,10,4096,16,16,1.2942,1.2942
0.6,ariaer,80,10,4096,16,16,1.26807,1.26807
0.7,ariaer,80,10,4096,16,16,1.20528,1.20528
0.8,ariaer,80,10,4096,16,16,1.0483,1.0483
0.9,ariaer,80,10,4096,16,16,809820,809820
